Timestamp,Date,Distance,k,Ax,Ay,Az,Xx,Xy,Xz,TRx,TRy,TRz,BRx,BRy,BRz,Bx,By,Bz,Cx,Cy,Cz,Ux,Uy,Uz,Vx,Vy,Vz,Wx,Wy,Wz,L_Roll,L_Tilt,R_Roll,R_Tilt
1775398799.467,2026-04-05 19:49:59,17.822,0.488,-108.045,63.717,346.993,-90.344,64.233,349.008,-107.45,36.881,348.749,-108.639,90.553,345.237,-89.661,38.014,349.821,-91.061,91.769,348.154,18.383,-25.703,2.828,0.995,0.029,0.1,-1.399,53.756,-1.668,1.645,173.159,1.572,176.832
1775398800.007,2026-04-05 19:50:00,17.789,0.486,-107.963,63.655,346.671,-90.333,64.172,348.985,-107.375,36.819,348.437,-108.55,90.49,344.905,-89.652,38.025,349.803,-91.051,91.781,348.12,18.311,-25.63,3.132,0.995,0.028,0.096,-1.399,53.755,-1.683,1.617,173.341,1.579,176.668
1775398800.534,2026-04-05 19:50:00,17.799,0.487,-108.005,63.686,346.817,-90.356,64.208,349.068,-107.412,36.852,348.602,-108.597,90.521,345.032,-89.687,38.041,349.938,-91.062,91.794,348.15,18.317,-25.645,3.121,0.995,0.028,0.097,-1.374,53.752,-1.788,1.635,173.268,1.554,176.697
1775398801.06,2026-04-05 19:50:01,17.825,0.487,-108.04,63.7,346.935,-90.338,64.215,348.963,-107.448,36.865,348.71,-108.631,90.535,345.161,-89.654,38.015,349.816,-91.057,91.768,348.065,18.386,-25.685,2.881,0.995,0.028,0.098,-1.403,53.753,-1.751,1.636,173.219,1.585,176.648
1775398801.584,2026-04-05 19:50:01,17.813,0.487,-108.048,63.698,347.007,-90.356,64.208,349.014,-107.461,36.862,348.758,-108.634,90.535,345.257,-89.681,38.033,349.831,-91.067,91.789,348.153,18.367,-25.665,2.824,0.995,0.028,0.1,-1.386,53.756,-1.677,1.626,173.158,1.561,176.764
1775398802.101,2026-04-05 19:50:02,17.815,0.486,-108.015,63.673,346.86,-90.346,64.183,349.08,-107.44,36.838,348.643,-108.59,90.507,345.077,-89.677,38.034,349.963,-91.052,91.786,348.147,18.338,-25.638,3.103,0.995,0.028,0.097,-1.376,53.752,-1.816,1.6,173.229,1.556,176.716
1775398802.601,2026-04-05 19:50:02,17.82,0.487,-108.035,63.695,346.931,-90.342,64.207,348.994,-107.45,36.861,348.712,-108.619,90.53,345.151,-89.661,38.013,349.838,-91.059,91.767,348.107,18.374,-25.682,2.906,0.995,0.028,0.098,-1.398,53.754,-1.731,1.622,173.204,1.578,176.669
1775398803.133,2026-04-05 19:50:03,17.821,0.487,-108.034,63.694,346.913,-90.346,64.207,349.024,-107.448,36.859,348.687,-108.619,90.529,345.139,-89.673,38.032,349.864,-91.055,91.787,348.139,18.36,-25.662,2.951,0.995,0.028,0.099,-1.382,53.754,-1.724,1.624,173.191,1.559,176.728
1775398803.659,2026-04-05 19:50:03,17.827,0.488,-108.055,63.712,347.005,-90.347,64.229,348.988,-107.457,36.875,348.755,-108.653,90.548,345.255,-89.663,38.003,349.823,-91.065,91.757,348.113,18.392,-25.709,2.818,0.995,0.029,0.099,-1.402,53.754,-1.71,1.65,173.181,1.576,176.826
1775398804.16,2026-04-05 19:50:04,17.814,0.487,-108.029,63.704,346.889,-90.354,64.224,349.044,-107.434,36.868,348.647,-108.625,90.54,345.13,-89.671,38.03,349.892,-91.073,91.784,348.153,18.359,-25.674,3.003,0.995,0.029,0.098,-1.402,53.754,-1.74,1.642,173.234,1.583,176.693
1775398804.673,2026-04-05 19:50:04,17.786,0.487,-107.976,63.671,346.642,-90.367,64.195,349.089,-107.382,36.836,348.418,-108.569,90.505,344.867,-89.681,38.037,349.928,-91.09,91.791,348.205,18.294,-25.633,3.286,0.995,0.028,0.095,-1.408,53.754,-1.723,1.626,173.375,1.589,176.686
1775398805.19,2026-04-05 19:50:05,17.795,0.487,-108.002,63.696,346.849,-90.359,64.22,349.114,-107.405,36.859,348.601,-108.599,90.532,345.097,-89.685,38.026,350.011,-91.069,91.777,348.17,18.318,-25.669,3.162,0.995,0.029,0.098,-1.385,53.75,-1.841,1.643,173.239,1.565,176.722
1775398805.722,2026-04-05 19:50:05,17.786,0.486,-107.995,63.671,346.831,-90.37,64.193,349.165,-107.403,36.835,348.584,-108.586,90.507,345.077,-89.692,38.053,350.056,-91.086,91.803,348.224,18.303,-25.619,3.225,0.995,0.028,0.097,-1.394,53.75,-1.832,1.629,173.267,1.578,176.63
1775398806.227,2026-04-05 19:50:06,17.81,0.487,-108.012,63.68,346.86,-90.33,64.189,348.936,-107.429,36.845,348.628,-108.594,90.516,345.092,-89.651,38.022,349.723,-91.046,91.779,348.108,18.361,-25.659,2.862,0.995,0.028,0.098,-1.396,53.758,-1.615,1.615,173.218,1.569,176.768
1775398806.756,2026-04-05 19:50:06,17.8,0.487,-108.023,63.705,346.897,-90.36,64.22,349.035,-107.431,36.868,348.635,-108.615,90.543,345.159,-89.681,38.043,349.843,-91.075,91.799,348.185,18.342,-25.663,2.946,0.995,0.028,0.098,-1.394,53.756,-1.658,1.628,173.271,1.568,176.775
